dataset,difficulty
10631_0,0.6
26669_34,0.26
10492_1,0.25
10273_3,0.55
22397_1,0.44
11938_0,0.22
21453_5,0.4
22812_1,0.67
15631_2,0.04
15218_0,0.5
13914_3,0.19
27289_0,0.02
14386_0,0.76
16158_0,0.34
10097_2,0.2
10632_7,0.03
18849_0,0.65
16634_2,0.51
11366_0,0.24
12410_27,0.14
27596_14,0.54
17026_0,0.2
286_0,0.26
24184_0,0.44
12732_1,0.04
16539_0,0.6
13645_0,0.62
28930_5,0.02
12805_1,0.6
15070_3,0.77
13337_1,0.58
10943_4,0.65
20312_4,0.49
23575_2,0.82
13356_19,0.72
21120_1,0.78
12410_30,0.78
23737_0,0.55
12410_28,0.81
19392_2,0.57
21390_0,0.57
20469_3,0.28
10901_0,0.02
21318_0,0.56
16362_1,0.04
12324_3,0.8
10009_1,0.01
10701_10,0.25
11118_1,0.45
19058_0,0.67
14279_0,0.05
25558_0,0.6
12630_2,0.52
27223_0,0.05
2194_0,0.22
27988_1,0.79
10094_0,0.02
11258_4,0.23
11803_0,0.34
19056_1,0.29
27247_0,0.04
21518_0,0.4
27668_0,0.24
11502_1,0.25
27596_6,0.71
2216_0,0.0
14188_1,0.39
11582_0,0.6
12131_0,0.53
19714_40,0.15
25829_12,0.52
21108_0,0.36
21486_5,0.59
22818_0,0.49
18621_0,0.23
20382_9,0.76
10225_2,0.68
18733_5,0.18
19167_0,0.39
21594_9,0.04
10461_0,0.59
12083_0,0.5
17235_3,0.29
28238_0,0.45
11032_2,0.26
16203_31,0.18
21131_0,0.31
20497_5,0.08
18468_0,0.05
20109_3,0.19
21308_1,0.59
25284_1,0.52
23603_1,0.52
12968_0,0.51
20475_0,0.39
19264_4,0.68
10203_0,0.52
10400_0,0.68
19755_1,0.1
12093_6,0.03
12948_1,0.25
26669_4,0.47
20917_0,0.23
25465_1,0.72
19510_1,0.13
21395_0,0.65
21722_0,0.59
27070_0,0.53
20109_6,0.6
2250_0,0.37
15963_1,0.5
26800_2,0.55
15823_0,0.54
19915_0,0.58
10629_0,0.47
17774_0,0.54
21328_1,0.79
26635_1,0.54
13814_0,0.55
19505_0,0.09
25627_0,0.69
12410_13,0.05
15864_1,0.59
18638_0,0.08
18202_84,0.18
11128_2,0.49
10766_1,0.46
17643_3,0.22
10033_2,0.66
10953_0,0.36
14403_0,0.57
22685_0,0.47
14155_2,0.68
22751_0,0.18
11886_0,0.18
14477_1,0.5
616_0,0.06
10528_0,0.36
21931_3,0.29
11746_2,0.59
16177_6,0.37
9955_0,0.67
18260_0,0.51
10266_1,0.34
20800_0,0.03
23575_1,0.54
14270_0,0.37
22696_0,0.75
16378_0,0.15
10067_0,0.57
10859_2,0.17
555_0,0.08
12707_0,0.49
18775_0,0.28
18202_80,0.22
18314_1,0.82
18577_0,0.69
2185_0,0.06
15597_1,0.48
13629_0,0.36
27988_0,0.75
16341_2,0.28
18808_8,0.02
25221_3,0.49
24194_1,0.6
16076_0,0.68
20358_1,0.48
23185_0,0.5
14876_3,0.31
14728_0,0.39
11292_0,0.08
12383_0,0.59
15415_9,0.46
13537_4,0.44
17235_0,0.41
14534_8,0.05
16473_3,0.0
11662_3,0.7
12492_2,0.18
10777_0,0.34
23512_0,0.56
10255_4,0.01
17090_0,0.25
17751_0,0.31
2185_1,0.01
16333_0,0.44
10943_3,0.69
14781_1,0.68
16788_2,0.12
16982_1,0.14
11439_1,0.59
17024_1,0.6
19049_0,0.25
11395_7,0.3
15977_2,0.07
18437_1,0.57
11178_8,0.55
2201_0,0.47
15955_2,0.42
11920_0,0.16
13760_0,0.53
11031_0,0.44
19510_3,0.11
23575_3,0.55
16426_0,0.54
20382_7,0.5
18277_2,0.47
18872_10,0.48
18132_0,0.05
13073_1,0.43
23436_1,0.57
13387_0,0.21
11178_21,0.55
16972_0,0.67
21184_0,0.69
22055_0,0.29
10863_2,0.6
16731_1,0.09
23727_0,0.26
25044_0,0.46
21537_0,0.21
18915_0,0.02
12786_7,0.08
19548_0,0.07
14069_1,0.63
26681_0,0.49
14643_12,0.03
22399_3,0.42
12998_1,0.44
19369_0,0.25
21001_0,0.18
20436_1,0.17
19712_0,0.29
2252_0,0.52
10644_3,0.68
21573_0,0.05
26628_12,0.36
20803_0,0.62
19538_1,0.6
25442_2,0.06
19714_5,0.49
12724_0,0.76
696_0,0.46
23531_0,0.4
12410_21,0.05
15731_9,0.28
15347_0,0.33
19240_1,0.74
11471_0,0.51
13538_1,0.35
18586_0,0.48
21310_0,0.23
16032_10,0.02
10049_0,0.03
10631_3,0.5
28337_0,0.54
15463_2,0.3
553_2,0.3
10349_2,0.63
15807_0,0.61
11336_1,0.6
14129_3,0.81
19714_31,0.24
24385_5,0.53
15492_0,0.01
22397_6,0.27
23598_0,0.34
22474_0,0.42
15632_0,0.1
28000_9,0.52
19576_0,0.03
11312_0,0.58
13654_4,0.03
10374_1,0.66
12630_3,0.44
26669_40,0.27
15232_4,0.73
10083_0,0.46
17303_0,0.17
18638_1,0.03
21537_1,0.45
24041_0,0.08
27415_0,0.22
27550_1,0.81
21453_2,0.11
423_0,0.07
14995_0,0.69
22871_1,0.62
11705_0,0.0
24205_0,0.26
18849_1,0.58
27350_0,0.51
26362_1,0.31
18638_18,0.38
12855_3,0.24
16473_0,0.13
21453_0,0.06
10123_1,0.43
11118_0,0.55
10005_0,0.53
22751_2,0.19
11395_8,0.58
16203_26,0.24
23439_4,0.42
23200_0,0.31
10701_22,0.53
14650_5,0.51
20469_4,0.28
21318_2,0.24
11391_1,0.17
10684_1,0.53
27866_0,0.03
28052_0,0.05
20637_0,0.35
10435_1,0.54
11159_0,0.37
13327_2,0.69
12354_0,0.44
13805_0,0.18
11800_2,0.27
23526_1,0.55
14416_0,0.4
10200_0,0.41
10830_0,0.7
25949_4,0.58
10541_1,0.55
18347_5,0.07
14897_1,0.44
21156_5,0.24
13713_2,0.47
16639_0,0.61
25817_1,0.25
23439_5,0.47
19714_2,0.61
12868_6,0.64
21130_0,0.61
25607_0,0.51
19162_0,0.2
13486_0,0.31
16637_3,0.69
17856_2,0.06
16539_2,0.56
18062_0,0.18
12410_10,0.47
10072_1,0.59
11994_1,0.41
16637_4,0.77
20136_3,0.01
14886_0,0.34
15609_1,0.63
15635_3,0.16
20353_0,0.57
12410_41,0.26
18889_0,0.67
10262_0,0.49
10760_1,0.49
12012_0,0.2
16955_0,0.24
18264_1,0.0
11712_1,0.54
14534_19,0.23
12495_1,0.55
10072_2,0.6
23301_0,0.3
15006_0,0.49
20382_5,0.4
11489_0,0.26
20396_1,0.5
21677_2,0.81
14652_3,0.49
14010_2,0.14
26902_0,0.04
22958_0,0.15
25783_1,0.51
21415_1,0.78
17639_0,0.75
19989_0,0.11
10445_1,0.12
9980_2,0.24
10984_2,0.06
17233_2,0.1
19439_1,0.64
19979_0,0.07
14013_1,0.65
567_0,0.17
19475_2,0.06
10360_1,0.46
21719_0,0.3
15232_3,0.7
13694_2,0.61
10741_0,0.3
20429_6,0.0
16855_3,0.51
22018_1,0.64
14655_0,0.68
12334_0,0.33
11224_1,0.52
27455_0,0.84
19714_37,0.36
18521_0,0.36
16395_2,0.49
577_2,0.66
22114_5,0.67
10083_2,0.1
15265_0,0.57
12861_1,0.03
23780_0,0.61
28000_24,0.35
13692_0,0.46
10579_3,0.65
14283_1,0.61
10034_0,0.21
13657_0,0.37
14144_5,0.73
10504_1,0.35
19414_0,0.0
11563_0,0.11
27200_0,0.44
21661_4,0.46
13692_1,0.61
15307_2,0.53
659_0,0.04
12699_0,0.04
21820_0,0.65
15161_16,0.2
28930_4,0.7
20706_0,0.41
10020_2,0.29
10398_0,0.23
12786_6,0.14
14763_0,0.54
10726_0,0.49
16119_0,0.37
24385_0,0.26
21172_2,0.62
14704_0,0.63
10110_1,0.46
16203_21,0.54
16032_2,0.02
13776_0,0.65
9988_0,0.28
10198_2,0.21
10701_9,0.24
14151_2,0.01
11355_1,0.71
21415_3,0.7
14978_2,0.45
10264_3,0.23
25615_1,0.61
18206_3,0.07
14155_1,0.75
22266_1,0.4
12437_0,0.42
17581_0,0.15
14038_5,0.31
11115_0,0.32
23780_1,0.6
26435_0,0.04
16449_3,0.53
696_2,0.01
19392_6,0.13
14534_30,0.02
25948_0,0.55
22022_3,0.52
13836_0,0.58
15068_0,0.06
18347_11,0.22
26551_5,0.01
12410_25,0.11
11359_0,0.12
25793_0,0.07
26669_31,0.76
24143_1,0.07
26988_8,0.37
10766_0,0.42
19083_0,0.18
21571_1,0.01
18161_1,0.01
25196_0,0.2
19096_0,0.12
10830_1,0.53
20817_2,0.6
15758_3,0.52
13716_3,0.61
21130_2,0.42
28337_2,0.28
27048_0,0.09
18829_3,0.63
13977_1,0.14
15325_1,0.52
10158_3,0.18
13538_3,0.39
22091_1,0.4
19538_0,0.33
10701_15,0.12
20429_0,0.01
14643_7,0.06
26669_7,0.06
18202_111,0.24
14010_1,0.05
10411_0,0.15
9960_1,0.09
17488_0,0.01
11174_0,0.66
15006_4,0.21
12400_5,0.2
14349_0,0.68
293_1,0.06
22155_0,0.34
18012_0,0.47
28000_27,0.44
10099_0,0.53
17144_3,0.23
12503_1,0.21
18883_4,0.62
14144_6,0.32
22792_0,0.36
10096_3,0.5
10022_1,0.37
23354_1,0.4
18938_0,0.02
21045_0,0.5
17393_0,0.54
11502_0,0.05
15603_1,0.62
15468_0,0.65
16238_10,0.63
12721_0,0.01
16675_0,0.27
14534_27,0.7
26551_0,0.02
10749_0,0.35
13303_0,0.08
14767_0,0.34
10770_0,0.55
698_0,0.1
20701_1,0.22
18274_0,0.6
11582_1,0.53
14274_0,0.33
20465_0,0.17
11297_8,0.02
25465_2,0.4
10310_1,0.43
638_1,0.11
18474_1,0.13
10010_1,0.64
21825_0,0.1
14410_1,0.08
2191_2,0.03
14604_2,0.37
27550_0,0.69
22087_3,0.34
12518_1,0.44
10254_0,0.11
17930_0,0.38
19552_0,0.05
10701_18,0.29
10632_4,0.02
12646_0,0.61
15676_0,0.34
21024_2,0.21
17225_0,0.52
10288_2,0.18
17304_1,0.05
12410_35,0.48
27993_0,0.28
18003_3,0.36
14571_1,0.28
21973_0,0.82
18729_0,0.77
25783_0,0.51
19048_4,0.62
20955_1,0.3
11162_0,0.54
10513_0,0.73
25894_0,0.0
18986_0,0.44
20287_2,0.01
18355_0,0.13
21931_1,0.31
11382_0,0.29
11665_1,0.5
16300_1,0.3
26836_0,0.37
16069_0,0.56
17819_0,0.51
23110_0,0.01
574_1,0.49
21852_0,0.31
13356_0,0.52
12093_4,0.0
22685_2,0.16
14609_3,0.59
25286_3,0.42
25647_2,0.72
23300_0,0.58
18336_2,0.34
15955_0,0.24
10258_0,0.31
26232_0,0.62
15034_0,0.6
22779_0,0.5
19682_0,0.3
17291_0,0.17
21615_7,0.03
15950_0,0.46
20497_2,0.1
15442_4,0.78
20451_0,0.02
10291_1,0.54
20935_0,0.04
13754_2,0.2
19714_38,0.75
17935_0,0.01
24007_0,0.34
19184_0,0.0
14609_6,0.55
16646_0,0.25
15480_0,0.3
14415_0,0.01
12145_1,0.27
28000_18,0.08
17550_0,0.35
20544_1,0.8
10289_1,0.22
13659_0,0.61
12553_3,0.55
16662_0,0.16
18894_0,0.0
279_0,0.16
12738_2,0.32
10673_6,0.68
10364_0,0.42
17818_0,0.68
11662_4,0.31
15336_1,0.34
18495_6,0.13
14371_0,0.26
15110_0,0.02
17443_0,0.48
27825_0,0.44
16145_2,0.37
12500_3,0.03
21874_2,0.0
19104_1,0.35
14978_0,0.54
23820_0,0.57
20021_1,0.0
23592_0,0.0
27596_32,0.61
17601_1,0.32
15097_0,0.59
10041_0,0.0
18849_4,0.67
19694_4,0.11
10283_0,0.53
21594_6,0.03
553_1,0.37
24321_1,0.45
11163_0,0.05
20287_1,0.31
16449_2,0.57
13812_0,0.43
13525_0,0.33
11211_0,0.5
21611_0,0.3
21033_0,0.05
15161_2,0.18
27099_0,0.25
21374_0,0.37
21931_0,0.35
10294_0,0.41
22399_5,0.64
16884_1,0.14
15361_0,0.15
27000_0,0.03
23897_0,0.11
22969_0,0.41
20221_0,0.04
20469_9,0.4
17935_7,0.04
13356_9,0.21
14279_2,0.56
20727_5,0.09
11487_1,0.81
10201_1,0.36
15569_0,0.42
27020_0,0.52
10632_0,0.03
19694_1,0.1
10737_0,0.27
10247_1,0.72
14151_5,0.35
11178_14,0.74
15251_0,0.45
16282_2,0.51
12343_1,0.41
13449_3,0.54
25829_13,0.61
22573_0,0.48
21973_12,0.43
20239_5,0.58
15062_4,0.04
23343_0,0.48
9957_0,0.24
10701_17,0.26
19729_0,0.35
20603_0,0.62
27709_0,0.52
25818_4,0.11
10857_1,0.37
27596_40,0.18
13843_2,0.74
10400_10,0.73
22087_0,0.73
18974_4,0.34
23259_0,0.61
21807_3,0.44
17555_0,0.36
15260_1,0.29
11415_2,0.18
11850_0,0.65
638_0,0.29
22073_0,0.1
21046_0,0.25
20001_1,0.42
12288_1,0.56
10036_0,0.17
13927_0,0.28
10523_1,0.08
14256_3,0.4
22264_0,0.53
12535_0,0.64
11314_0,0.61
15250_0,0.42
12482_1,0.55
27476_0,0.19
26549_1,0.0
21797_3,0.13
12586_5,0.38
18731_0,0.29
27037_5,0.55
13722_0,0.02
16659_6,0.48
13753_0,0.31
2369_1,0.65
569_2,0.04
15643_0,0.44
28000_23,0.34
16032_3,0.02
22552_0,0.47
19485_2,0.67
15631_6,0.03
26404_1,0.72
25818_0,0.01
19392_5,0.62
14401_1,0.44
22342_0,0.03
11078_2,0.65
13990_0,0.01
9978_0,0.65
25150_0,0.07
26669_6,0.52
14424_1,0.73
10800_0,0.01
28258_0,0.55
10438_0,0.54
19240_0,0.32
18971_6,0.52
15407_1,0.4
12174_0,0.6
26852_0,0.6
23239_0,0.6
9934_0,0.72
22615_0,0.24
25647_7,0.71
23354_0,0.4
11908_3,0.23
11798_0,0.61
21328_0,0.69
13390_1,0.51
12713_2,0.3
20164_0,0.63
25465_0,0.3
22552_1,0.39
10520_1,0.63
18849_3,0.59
15355_1,0.44
19414_1,0.05
23829_2,0.42
20711_0,0.57
10134_1,0.18
11768_0,0.27
19750_1,0.35
13808_8,0.15
17235_6,0.3
19925_5,0.43
21098_0,0.34
21212_0,0.64
23019_0,0.51
27596_15,0.75
17936_0,0.37
21156_3,0.45
12961_0,0.2
19630_0,0.29
13914_0,0.64
13758_0,0.06
14419_3,0.49
14477_0,0.67
20987_9,0.01
19309_0,0.41
13449_2,0.38
12093_0,0.1
12495_0,0.4
11204_0,0.61
13356_21,0.67
25044_2,0.44
12431_1,0.42
23800_0,0.42
26762_2,0.61
2205_0,0.28
15831_0,0.02
16106_0,0.75
26016_1,0.14
15232_0,0.75
14863_1,0.23
26628_18,0.47
15307_0,0.58
10207_0,0.21
10591_0,0.01
10200_1,0.64
27286_0,0.29
16300_2,0.25
17344_2,0.77
14328_0,0.45
25635_1,0.56
14312_0,0.77
14424_0,0.4
18401_0,0.46
19714_29,0.69
10043_0,0.48
16293_0,0.53
28135_0,0.63
13323_0,0.03
20202_0,0.54
17927_0,0.05
27640_0,0.6
25792_0,0.22
2207_1,0.02
19724_1,0.29
20469_8,0.14
17580_1,0.01
21191_0,0.33
14216_0,0.07
19729_3,0.35
22385_1,0.23
579_0,0.08
10856_1,0.46
2226_0,0.08
13526_0,0.48
14144_3,0.51
27415_3,0.67
23369_0,0.02
10112_0,0.43
23751_2,0.65
12379_1,0.39
10211_0,0.66
27476_1,0.5
28000_26,0.35
15625_1,0.68
20469_1,0.18
17144_0,0.56
11112_5,0.1
14923_3,0.52
2180_2,0.25
26669_12,0.58
15125_4,0.16
18919_1,0.65
22987_0,0.23
17851_0,0.09
2231_0,0.19
25000_0,0.56
10251_0,0.56
23717_1,0.52
10158_0,0.64
18218_2,0.2
16203_27,0.16
16858_0,0.1
28000_13,0.27
16735_0,0.17
13908_0,0.35
14945_12,0.6
21897_1,0.59
27596_5,0.66
25683_0,0.13
18474_3,0.22
14354_1,0.62
15068_2,0.4
14141_0,0.46
15613_2,0.34
10102_2,0.56
19714_22,0.61
23550_0,0.22
17304_0,0.03
21617_0,0.68
26083_0,0.5
27596_25,0.63
14387_0,0.34
11269_2,0.49
12410_39,0.49
12969_2,0.55
22264_1,0.28
21100_0,0.58
11452_4,0.15
22812_2,0.53
10242_0,0.02
14299_1,0.69
19498_1,0.02
11224_0,0.33
11081_0,0.09
19640_0,0.45
15125_5,0.36
17615_1,0.45
14609_5,0.66
13339_2,0.56
25372_0,0.01
14297_0,0.35
14373_0,0.54
14354_18,0.32
12859_0,0.17
16622_0,0.1
19985_0,0.62
14038_11,0.65
11180_0,0.18
10259_0,0.35
19062_0,0.13
13107_1,0.01
12586_1,0.23
15325_3,0.56
17856_0,0.14
19555_2,0.13
13808_4,0.26
10549_1,0.33
19729_2,0.43
15502_4,0.56
18492_0,0.31
18012_1,0.48
17154_8,0.35
21708_0,0.18
14534_17,0.26
21243_0,0.01
26762_3,0.5
11517_0,0.3
11111_2,0.0
21486_6,0.5
10943_7,0.62
26551_2,0.02
14652_2,0.41
27415_1,0.06
12093_13,0.34
26895_0,0.54
15817_0,0.24
25141_0,0.34
27596_35,0.6
9991_3,0.58
23630_0,0.43
15602_1,0.0
11818_1,0.56
15097_2,0.37
21897_0,0.57
11593_1,0.53
19466_5,0.21
2374_1,0.48
19303_0,0.46
11738_0,0.37
14534_10,0.0
13583_4,0.8
11297_12,0.12
569_1,0.04
705_2,0.06
11269_1,0.06
23023_0,0.43
13567_0,0.53
17978_0,0.13
10193_1,0.12
15071_1,0.48
20616_0,0.1
14497_1,0.14
16236_6,0.62
15355_2,0.66
12855_5,0.62
10131_0,0.25
12093_15,0.03
16282_0,0.09
16267_4,0.69
11811_7,0.19
19562_0,0.63
12732_0,0.28
19771_0,0.16
14595_1,0.13
10943_5,0.12
23871_0,0.21
18495_7,0.07
26669_8,0.49
15707_1,0.76
22091_0,0.47
15082_0,0.83
14495_0,0.34
26232_2,0.03
21594_2,0.06
28391_2,0.04
11062_0,0.52
18829_6,0.22
23607_0,0.55
566_0,0.03
719_0,0.31
23594_0,0.0
12395_0,0.19
11245_0,0.49
12653_0,0.16
19692_4,0.16
26615_2,0.75
18303_1,0.01
12762_0,0.64
17250_0,0.75
22091_3,0.41
18773_0,0.06
11093_1,0.12
22266_0,0.6
21024_0,0.49
13424_3,0.67
26793_0,0.41
10172_2,0.56
22399_2,0.38
13505_0,0.01
19750_0,0.09
16507_2,0.65
13361_1,0.53
14959_3,0.7
25518_0,0.03
15631_3,0.43
10170_3,0.68
16950_1,0.56
10701_0,0.16
21917_1,0.16
19731_0,0.28
28293_0,0.37
11297_7,0.01
17816_0,0.23
22802_0,0.31
11303_3,0.08
26690_0,0.09
19264_1,0.64
560_0,0.53
14155_0,0.83
20987_5,0.57
9999_0,0.58
20657_0,0.32
22005_1,0.52
10327_3,0.18
23882_0,0.46
26254_0,0.33
12351_0,0.1
20239_0,0.58
19616_2,0.06
21162_0,0.29
10072_3,0.59
9946_0,0.08
14758_3,0.16
27415_5,0.5
11555_0,0.89
10701_3,0.11
23164_0,0.6
12076_0,0.02
27321_1,0.42
9950_0,0.55
23227_0,0.13
14830_0,0.31
17927_1,0.32
16770_0,0.02
12630_5,0.49
20682_0,0.32
27694_0,0.26
15019_3,0.39
16203_7,0.1
21130_1,0.54
22257_0,0.21
20109_0,0.01
17320_1,0.33
13159_0,0.65
26669_5,0.13
17844_0,0.26
23497_2,0.54
26669_35,0.57
17699_0,0.25
21634_0,0.54
23859_0,0.07
24036_3,0.02
10286_3,0.78
11569_0,0.75
18337_5,0.02
12900_1,0.42
11178_7,0.33
14354_20,0.62
664_1,0.01
16100_1,0.6
13356_1,0.67
25372_1,0.55
10632_6,0.0
16267_0,0.67
14476_0,0.63
27276_1,0.16
23649_1,0.18
10724_0,0.62
18405_0,0.33
25116_0,0.37
16203_29,0.23
10253_1,0.66
13715_0,0.59
14314_2,0.42
11041_0,0.56
28161_2,0.52
16203_14,0.12
15835_1,0.56
11418_1,0.39
20355_0,0.18
26669_9,0.58
10327_1,0.62
26765_3,0.55
12257_0,0.69
10201_0,0.59
16930_0,0.01
10492_2,0.28
26711_1,0.21
13715_5,0.04
10273_4,0.61
16824_1,0.53
21888_4,0.44
19582_2,0.07
14433_0,0.65
16300_4,0.66
16315_1,0.23
24320_0,0.46
22685_5,0.6
27746_0,0.52
15161_8,0.18
15068_1,0.33
26669_30,0.63
16916_0,0.56
16081_0,0.25
26669_28,0.44
2234_1,0.58
10216_0,0.05
18418_0,0.18
11446_0,0.63
19339_0,0.02
139_0,0.09
11872_1,0.14
18264_0,0.01
10692_1,0.05
14078_2,0.62
22486_1,0.73
19485_1,0.67
16807_0,0.1
18808_10,0.02
2222_0,0.26
14297_1,0.51
18400_0,0.02
27596_13,0.66
10260_0,0.3
25554_1,0.13
20040_0,0.32
20565_1,0.52
13790_0,0.46
24325_0,0.65
14038_6,0.65
10163_0,0.36
21308_0,0.23
12410_24,0.19
13959_0,0.51
18855_0,0.24
13699_2,0.35
27037_1,0.49
22760_1,0.38
16203_11,0.43
20014_0,0.43
15931_1,0.02
23356_2,0.56
23886_0,0.48
16238_3,0.69
15125_3,0.16
18021_0,0.38
11299_0,0.42
23603_0,0.64
10147_0,0.58
20327_0,0.18
11502_4,0.28
25882_1,0.45
16456_1,0.36
15635_0,0.75
9956_0,0.01
19947_1,0.33
22509_0,0.65
26628_19,0.56
10076_0,0.56
10170_1,0.7
23606_0,0.82
12709_1,0.04
15907_0,0.2
13583_0,0.88
11516_2,0.63
19510_2,0.09
12080_0,0.63
18971_12,0.52
20152_0,0.6
10976_0,0.75
11078_1,0.62
10290_1,0.11
10195_0,0.48
20924_1,0.11
15857_0,0.23
12012_1,0.45
25829_6,0.3
16761_1,0.09
14945_4,0.74
10644_2,0.38
10117_4,0.62
10701_5,0.22
18302_3,0.41
19731_4,0.28
26628_13,0.57
15531_1,0.21
20028_1,0.6
25920_0,0.39
24323_0,0.3
13670_0,0.6
10046_2,0.11
11758_0,0.51
22812_0,0.71
15043_0,0.18
12721_1,0.43
16300_0,0.56
20963_1,0.39
16634_1,0.73
11828_0,0.21
13754_3,0.4
27983_0,0.48
14945_19,0.69
13712_0,0.62
25689_0,0.21
26788_0,0.4
14082_1,0.37
18998_0,0.11
15415_8,0.55
28161_1,0.6
10221_0,0.15
27000_1,0.03
15161_14,0.54
13715_6,0.44
18491_0,0.58
16761_0,0.65
9982_0,0.56
18638_3,0.13
12738_3,0.63
389_0,0.15
16203_2,0.21
576_0,0.0
21603_2,0.54
17435_1,0.49
16453_4,0.0
420_2,0.03
20711_1,0.3
11487_6,0.68
20930_4,0.14
12553_1,0.42
16100_0,0.59
12808_1,0.4
10653_0,0.02
17766_0,0.04
12087_0,0.35
601_0,0.07
12605_0,0.03
11876_2,0.16
18570_0,0.35
2375_0,0.31
18206_1,0.51
569_0,0.04
17915_0,0.14
21792_0,0.6
14312_8,0.65
9991_1,0.62
14787_0,0.34
20211_0,0.7
21273_2,0.46
12364_1,0.7
23600_1,0.6
11610_0,0.08
15021_4,0.25
26867_0,0.12
10096_1,0.57
568_0,0.15
21603_0,0.64
12630_4,0.6
18102_0,0.05
16449_4,0.6
16032_4,0.02
26585_0,0.1
10148_1,0.11
11876_3,0.04
22034_0,0.72
27099_1,0.78
20228_1,0.59
18303_2,0.05
19280_2,0.55
10061_0,0.02
15184_0,0.47
22197_0,0.22
16490_0,0.38
27689_1,0.56
12200_1,0.51
13942_0,0.34
14433_3,0.55
10259_2,0.04
21369_1,0.12
23748_0,0.53
16847_0,0.24
14781_3,0.19
12655_0,0.27
10180_2,0.65
12364_0,0.55
26669_26,0.04
22021_0,0.4
17344_0,0.55
14314_0,0.51
16298_0,0.38
22303_0,0.19
14621_0,0.61
11040_0,0.24
17255_0,0.02
28399_0,0.34
16285_3,0.02
25647_10,0.84
13419_0,0.21
17404_1,0.16
607_0,0.14
13188_0,0.48
15325_2,0.2
13765_0,0.29
10673_3,0.0
18687_0,0.33
585_0,0.0
15415_0,0.56
27108_0,0.52
15723_3,0.23
24992_0,0.58
18495_1,0.08
10083_1,0.45
386_0,0.33
602_0,0.47
27174_1,0.14
10257_0,0.11
13919_0,0.36
17769_0,0.39
23751_1,0.09
15823_1,0.19
17674_2,0.56
13800_0,0.23
22281_0,0.34
20047_1,0.37
16238_1,0.47
15658_0,0.1
17344_3,0.77
19714_1,0.01
18495_2,0.27
13635_0,0.61
16285_4,0.17
11392_0,0.12
22509_1,0.57
28000_22,0.3
2225_0,0.68
11651_1,0.02
10180_0,0.36
10943_2,0.57
14643_5,0.57
26713_0,0.2
12093_16,0.61
17264_0,0.12
18853_0,0.0
24321_0,0.17
21156_4,0.12
561_0,0.49
18234_0,0.2
28131_0,0.31
9984_0,0.32
18962_1,0.34
12339_0,0.47
14534_12,0.27
12492_3,0.66
16203_8,0.45
26669_33,0.51
13815_5,0.03
14497_6,0.16
17173_0,0.35
10712_0,0.36
11178_9,0.65
18612_2,0.02
11994_2,0.56
25487_0,0.49
28000_7,0.34
22264_2,0.62
14945_1,0.53
16389_0,0.38
16153_0,0.66
16285_1,0.09
26426_0,0.76
15676_1,0.21
22503_1,0.54
22363_0,0.38
12410_8,0.31
25155_1,0.06
26362_7,0.26
22449_0,0.53
2191_1,0.31
14151_3,0.14
22660_1,0.56
18513_1,0.36
12569_2,0.33
20429_3,0.01
17827_2,0.57
12594_4,0.67
19623_0,0.64
15566_0,0.64
26827_0,0.52
20488_0,0.48
2245_0,0.34
27520_0,0.55
19466_2,0.57
26845_0,0.32
14213_1,0.1
22528_0,0.21
10247_0,0.62
18704_1,0.45
26669_24,0.62
19694_3,0.13
560_2,0.52
15174_2,0.68
11225_0,0.62
27596_2,0.85
15268_1,0.24
15407_0,0.38
10196_1,0.05
19925_4,0.53
13159_2,0.29
20977_0,0.21
18025_0,0.46
24324_0,0.64
21963_0,0.05
10289_2,0.03
15446_1,0.36
11535_3,0.6
12410_6,0.14
20987_6,0.05
20109_1,0.01
12117_0,0.64
10308_0,0.35
12922_0,0.07
16275_0,0.03
16858_1,0.26
11564_0,0.33
12551_1,0.39
14959_1,0.57
18872_2,0.08
10632_10,0.01
18292_1,0.48
15228_2,0.12
26799_0,0.25
13356_22,0.67
26988_4,0.38
20775_3,0.57
10067_1,0.54
21620_2,0.61
26786_0,0.7
16421_0,0.0
12805_0,0.64
10147_1,0.3
10270_1,0.76
10823_0,0.28
16418_2,0.08
16456_0,0.35
9936_0,0.02
14038_1,0.14
26765_1,0.54
26988_18,0.32
19925_0,0.51
14038_13,0.21
20537_0,0.09
691_0,0.24
16318_0,0.77
27352_1,0.54
27227_0,0.21
13337_0,0.58
15415_2,0.51
21537_3,0.54
17154_7,0.39
21823_1,0.03
16955_1,0.13
22018_0,0.79
10980_0,0.55
10270_4,0.86
17840_2,0.03
22592_2,0.44
20382_0,0.67
13552_0,0.65
14876_0,0.18
14595_0,0.02
18927_0,0.63
28077_0,0.38
20950_0,0.33
11501_0,0.55
17127_0,0.33
15415_4,0.29
15463_1,0.1
19731_2,0.59
27866_3,0.05
13829_1,0.23
25829_0,0.6
18808_4,0.01
23249_3,0.83
17823_0,0.53
16238_8,0.24
12379_2,0.2
10253_0,0.67
11554_0,0.1
15011_0,0.51
9983_3,0.43
13710_0,0.22
10295_3,0.61
10072_7,0.62
19528_2,0.0
22449_1,0.72
17939_0,0.6
15767_2,0.75
11555_1,0.7
12708_1,0.02
10435_2,0.14
26635_0,0.28
9976_1,0.6
13031_0,0.35
10006_1,0.48
18070_0,0.61
18594_0,0.23
10157_1,0.15
16335_0,0.12
11394_0,0.51
23649_0,0.04
23489_0,0.36
27415_2,0.25
702_2,0.49
